,time,left_armpit_angle,right_armpit_angle,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_groin_angle,right_groin_angle,left_knee_angle,right_knee_angle,neck_angle,trunk_angle
0,0.0,66.13871118995624,69.5136685161105,66.13871118995624,69.5136685161105,174.84872792472814,177.5387865028864,65.83491624969541,113.38760904866433,98.46443637700656,72.98235774122287,168.85337073850636,157.89029123102063,79.04690358927613,14.085077179147198
1,0.03333333333333333,63.477550909482744,70.50784186840501,63.477550909482744,70.50784186840501,173.7715419124072,178.96059923935934,65.68158400517075,110.88017995854278,96.90306420483734,75.43424648707331,169.4130203169255,158.06989295872486,83.39105781840064,15.001312169271696
2,0.06666666666666667,61.825561443756754,70.87473840640708,61.825561443756754,70.87473840640708,171.9258118848153,179.00251352291485,62.29539663367936,112.91061876916658,100.7723187800112,73.03600031964837,168.5347897571875,158.49030607500578,86.10013161543797,15.195077480138846
3,0.1,59.86512284413658,70.38600317380019,59.86512284413658,70.38600317380019,169.19180414621164,179.32885532564393,11.053896254886006,164.0167315967591,152.88175448713724,23.551466895815793,167.11505478850174,159.45441387861163,87.40451052303249,15.665212683199087
4,0.13333333333333333,59.929110165029535,70.10440701989968,59.929110165029535,70.10440701989968,169.33372280909316,179.5081968437651,64.33229104831075,120.29222802721158,131.73473761276097,51.564982247253624,166.94684757014596,159.31441746587566,88.86041401455353,15.924474706567256
5,0.16666666666666666,58.55573220247026,69.84902832303126,58.55573220247026,69.84902832303126,167.35840777192985,179.34612362894694,99.65623605820232,85.44018579150904,96.15126865757884,85.6325480954585,165.2487205179192,159.64866568852835,90.17872486069568,16.381530148061795
6,0.2,58.09210166241135,69.48235015972863,58.09210166241135,69.48235015972863,168.90948254692873,179.1090246464512,129.87389002361527,55.72218513743699,67.27445768843067,114.09008298955486,164.7546685744096,159.93856739069668,90.27808033045383,17.147350590825816
7,0.23333333333333334,57.202357092594326,69.5604922948489,57.202357092594326,69.5604922948489,169.2000612261058,179.3656501602589,88.7202736253075,84.42250214144983,73.3252990463473,106.54064864995813,163.87101889285927,160.93247711287574,89.88606469273057,17.918746015215504
8,0.26666666666666666,56.83935863713937,68.96970431973405,56.83935863713937,68.96970431973405,169.4341130434271,179.28361006674817,128.6392534636888,44.55871036081238,33.27340564433225,147.99914438345002,163.39893423676332,161.995406227129,90.58391060407345,18.486635699563983
9,0.3,56.23713852460111,68.64557743427626,56.23713852460111,68.64557743427626,169.4426775187227,179.4741628352181,88.15524773758558,84.8035896119495,72.07825396151591,108.6794535071924,164.38313991976102,162.71438185358755,90.73481848124176,19.094014205246157
10,0.3333333333333333,55.695543330648675,68.48295592967186,55.695543330648675,68.48295592967186,169.67031170387705,179.45316827809435,81.98979666887998,90.51184017496982,77.51849113828322,103.12197753415806,164.08974089186432,162.68788214917836,90.94231418783968,19.49858793340522
11,0.36666666666666664,55.87700444041937,67.69477817089133,55.87700444041937,67.69477817089133,170.00800854548405,179.98291117231992,84.66570909569407,88.65158502217723,74.19390701096157,106.17392349796619,163.68912122994018,162.43228756341074,91.10312720681523,20.43586919281504
12,0.4,56.41602430963492,67.82293043517097,56.41602430963492,67.82293043517097,170.88426753866102,179.65461892140854,80.62859929955984,93.07438315721917,76.80051597790451,101.95596440759944,165.00943505683796,161.86539328923936,89.3842179643845,20.548197521563065
13,0.43333333333333335,56.11448786858091,67.79512023676388,56.11448786858091,67.79512023676388,170.96680666582753,179.85310011477725,80.33904451886048,93.05125132334148,76.32586366823723,101.81966767022308,165.40947219928702,161.59831534746428,89.41654275664258,20.6670857421524
14,0.4666666666666667,55.87704497446811,67.39391606685295,55.87704497446811,67.39391606685295,171.06577898326836,179.33094115232012,81.99015974560379,91.16626664375147,74.01882843937292,103.43934423150286,165.63130608136814,161.13404413014177,89.8312570381859,20.79400002445975
15,0.5,56.35363358959249,68.0019617427893,56.35363358959249,68.0019617427893,171.71644207678497,179.53127357486997,81.67960017819384,91.03917091607308,74.85216976061372,102.90976273909328,165.60564986783132,160.85853192139672,89.63615256661704,20.542295712065613
16,0.5333333333333333,56.46089373480491,68.14871248738015,56.46089373480491,68.14871248738015,171.87313908033744,179.5129035559365,82.14968462465966,90.45496343355146,74.67578497290017,103.20843493410895,167.2115654586037,161.29235374124147,88.25665029792505,20.423139147640168
17,0.5666666666666667,57.33067727294811,68.82601336979826,57.33067727294811,68.82601336979826,171.57362461157777,179.7226514591569,87.25939471814632,85.60879738295645,71.90868839899859,107.23067421186737,166.24596447381484,161.22384691823703,87.43311655722758,19.750729264335977
18,0.6,60.56974220384024,70.51274216844409,60.56974220384024,70.51274216844409,173.52532672187093,178.82945123490774,129.5622159041076,44.29692731178017,33.67545542428365,147.81097271076445,162.63018931087237,161.35668192825116,87.43824652993062,18.54869894342034
19,0.6333333333333333,60.51988123096599,71.9308843869426,60.51988123096599,71.9308843869426,173.5483586417013,177.57412615241924,101.15941846041531,71.98773439921263,62.57728744826468,116.65847568029128,162.777698914322,159.12067122473576,88.00629722925169,17.720593802654395
20,0.6666666666666666,63.54285108803077,73.043310309467,63.54285108803077,73.043310309467,173.1259508926157,176.65661635987811,141.75912111174333,42.775833733359214,48.521098210318115,130.40870809138576,161.74469040378375,159.15572168052503,88.76960823850382,15.619548251957164
21,0.7,65.17020433150694,73.73626131169674,65.17020433150694,73.73626131169674,173.44727031161344,177.54649913383994,111.39884034678838,72.88757307041435,78.79598125040461,101.39048191988269,165.11903775341247,159.69835754926075,88.72522891765135,14.286895266372463
